,New York,Los Angeles,New Orleans,Dallas,Miami,Phoenix
2020-02-23,0.03,0.07500000000000001,0.12000000000000001,-0.005,-0.025,0.0
2020-03-01,0.01,0.08,-0.16,0.06,0.0,-0.02
2020-03-08,-0.1,-0.01,-0.03,-0.01,-0.06,-0.08
2020-03-15,-0.52,-0.38,-0.28,-0.25,-0.22,-0.27
2020-03-22,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9965
2020-03-29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-04-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-04-12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-04-19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-04-26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-05-03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-05-10,-1.0,-1.0,-1.0,-0.8946,-1.0,-1.0
2020-05-17,-0.9998,-1.0,-0.9986,-0.8673000000000001,-1.0,-0.7951
2020-05-24,-0.9936,-1.0,-0.8911,-0.7575,-0.9509000000000001,-0.743
2020-05-31,-0.9925,-1.0,-0.8432,-0.6905,-0.7826000000000001,-0.6334000000000001
2020-06-07,-0.9933,-0.9706,-0.8431000000000001,-0.7542,-0.7323000000000001,-0.594
2020-06-14,-0.9958,-0.9128000000000001,-0.7615000000000001,-0.6022,-0.5658,-0.5352
2020-06-21,-0.9965,-0.8612000000000001,-0.7273000000000001,-0.6466,-0.5436,-0.6568
2020-06-28,-0.9493,-0.8438,-0.7463,-0.6696,-0.5643,-0.6833
2020-07-05,-0.9394,-0.8704000000000001,-0.698,-0.7362000000000001,-0.6707,-0.7099
2020-07-12,-0.9423999999999999,-0.8801000000000001,-0.48,-0.747,-0.8066,-0.7409
2020-07-19,-0.907,-0.8845000000000001,-0.6851,-0.6969,-0.787,-0.7537
2020-07-26,-0.9203,-0.868,-0.7109000000000001,-0.7023999999999999,-0.7743000000000001,-0.7364
2020-08-02,-0.9065000000000001,-0.8472,-0.6727,-0.5936,-0.7706999999999999,-0.6709999999999999
2020-08-09,-0.8856,-0.8254,-0.6103999999999999,-0.5760000000000001,-0.7289,-0.6949
2020-08-16,-0.8924,-0.8005,-0.5221,-0.5696,-0.7058,-0.6036
2020-08-23,-0.8327,-0.8037000000000001,-0.6441,-0.5672999999999999,-0.6652,-0.6811
2020-08-30,-0.8203,-0.7584000000000001,-0.7415,-0.5097,-0.4849,-0.6088
2020-09-06,-0.8023,-0.6892,-0.4171,-0.3786,-0.2482,-0.46619999999999995
2020-09-13,-0.7872,-0.7354,-0.5958,-0.4008,-0.4188,-0.4855
2020-09-20,-0.8083,-0.6907,-0.5303,-0.4571,-0.35229999999999995,-0.5428000000000001
2020-09-27,-0.7942,-0.6805,-0.6167,-0.4457,-0.3564,-0.48009999999999997
2020-10-04,-0.7481,-0.6764,-0.6081,-0.40159999999999996,-0.364,-0.4168
2020-10-11,-0.7626000000000001,-0.6715000000000001,-0.6378,-0.382,-0.20980000000000001,-0.4597
2020-10-18,-0.7398,-0.6663,-0.6195,-0.35590000000000005,-0.2899,-0.5133
2020-10-25,-0.7815000000000001,-0.6723,-0.6587000000000001,-0.4266,-0.23149999999999998,-0.5292
2020-11-01,-0.8064,-0.6535,-0.5881000000000001,-0.3882,-0.2187,-0.4854
2020-11-08,-0.7951,-0.6888,-0.6859999999999999,-0.4569,-0.34600000000000003,-0.5781000000000001
2020-11-15,-0.7979,-0.6376,-0.5427000000000001,-0.4138,-0.2141,-0.4121
2020-11-22,-0.833,-0.7132999999999999,-0.5949,-0.4874,-0.26789999999999997,-0.5038
2020-11-29,-0.8431000000000001,-0.9895999999999999,-0.625,-0.4772,-0.2146,-0.4932
2020-12-06,-0.8715999999999999,-0.998,-0.7265999999999999,-0.4971,-0.4539,-0.5587
2020-12-13,-0.8752,-0.9994,-0.6303,-0.5501,-0.3175,-0.6174000000000001
